     67 | twitter  | earthquake | luiwar93               |    91 | please pray for all of the victims of the earthquake in guatemala this morning.                                                             
     68 | twitter  | earthquake | PetiteBre              |   152 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
     69 | twitter  | earthquake | xPINK_ICEx             |    89 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
     70 | twitter  | terremot | carmenlsan             |   101 | rt @radioreloj: en guatemala se declaran tres d\xedas de duelo nacional tras terremoto.                                                     
     71 | twitter  | earthquake | stefaniieexx02         |    86 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
     72 | twitter  | earthquake | danz917                |   148 | rt @41actionnews: update: 48 dead after 7.4 earthquake rocks guatemala. http://t.co/zms8sey0                                                
     73 | twitter  | earthquake | vortexdiva             |    40 | rt @endtimeheadline: earthquake alert: magnitude 4.2 - off the coast of oregon... http://t.co/3wnfyvu7                                      
     74 | twitter  | earthquake | governmentwire         |   108 | strong earthquake off guatemala kills at least 48 http://t.co/p7mzzjjl                                                                      
     75 | twitter  | earthquake | AzXango                |  1441 | rt @nerdylizzyliz: rt @earthquakesla: a 2.4 magnitude earthquake occurred 3.73mi nnw of san fernando, california. details: ... http://t. ...
     76 | twitter  | earthquake | slasoski               |   154 | rt @danielledefine: \u201c@bad_acid_: no teen will be spared when skrillex's apocalyptic dubstep earthquake swallows them into the abyss\u201d @sl ...
     77 | twitter  | earthquake | Jesss219               |   145 | hope there is not another earthquake                                                                                                        
     78 | twitter  | earthquake | ngoodnight             |    59 | rt @jimgaffigan: nyc had a hurricane last week.  a blizzard this week.  not looking forward to next week's earthquake.                      
     79 | twitter  | earthquake | DanggItsMiki           |   530 | earthquake pom routine tomorrow. omgggggggg. finally. &lt;3                                                                                 
     80 | twitter  | terremot | claragallo             |   209 | rt @vosto: no hace falta guerra, hurac\xe1n, guerrilla o terremoto para morir en el intento. tenemos "soberan\xeda delictiva".              
     81 | twitter  | earthquake | stefaniex333           |   208 | rt @ant_boii: first a hurricane then earthquake and now a snow storm?....yea the world is ending lol                                        
     82 | twitter  | earthquake | niyaxzx                |   123 | rt @newearthquake: 5.1 earthquake, south indian ocean. nov 8 07:24 at epicenter (16m ago, depth 10km). http://t.co/upsi948c                 
     83 | twitter  | earthquake | jay_mary_mayy          |   131 | heard there was an earthquake in guatemala\U0001f629 @christyjanel must have been twerking lol but no this is serious. hope everyones okay\u2764\U0001f499\U0001f47c\U0001f44d\U0001f64f\U0001f499\u2764
     84 | twitter  | earthquake | itssonline             |    17 | rt @skynews: guatemala earthquake: at least 48 dead http://t.co/ihmyu14d                                                                    
     85 | twitter  | earthquake | ShakingEarth           |  4806 | earthquake ! mb 5.1 south indian ocean http://t.co/2nc3vpgz                                                                                 
     86 | twitter  | earthquake | News_Riverside         |     2 | 6.3-magnitude earthquake strikes canada: an earthquake with a preliminary magnitude of 6.3 struck can... http://t.co/uocpmc6e #riverside    
     87 | twitter  | earthquake | justsayhun_            |   557 | rt @newearthquake: 5.1 earthquake, south indian ocean. nov 8 07:24 at epicenter (16m ago, depth 10km). http://t.co/upsi948c                 
     88 | twitter  | terremot | duducalderon           |    64 | @imsamhp yo pense q te habias muerto ! debajo d tu casa ! :'( x el terremoto !!!                                                            
     89 | twitter  | earthquake | sardogsnepal           |   498 | rt @gdacs: green #earthquake alert (5.1m,depth:10km) in # 8/11 03:24utc, pop100km:0 http://t.co/f5qpvhqx - jrc                              
     90 | twitter  | earthquake | Chrissy_Adeline        |   545 | rt @humpingniall: a hurricane last week, an earthquake yesterday, and now a snowstorm tonight, connecticut is full of unexpected things.    
     91 | twitter  | earthquake | DMcCaffreySKY          |  2472 | strong earthquake off coast of guatemala kills least 48 people, many more missing. watch my report: http://t.co/75t4imdk                    
     92 | twitter  | earthquake | IamRetired911          |   238 | rt @quakestoday: 5.1 magnitude earthquake. south indian ocean. details @ http://t.co/bvtcfrms                                               
     93 | twitter  | earthquake | dgmbear                |   112 | 6.3 earthquake off the b.c. coast.  no reports of damage.  so far, so good.  whew!                                                          
     94 | twitter  | earthquake | JustJamB               |    35 | 6.3-magnitude earthquake strikes near vancouver island  http://t.co/k3wxfw8u via @ctvnews                                                   
     95 | twitter  | earthquake | SinaiMehra             |     2 | rt @yogurtbay: he moves and tosses the officer to one side who falls down and it feels like its an earthquake                               
     96 | twitter  | earthquake | worldhazards           |   665 | #earthquake m 5.1, south indian ocean: november 08, 2012 03:24:29 gmt http://t.co/sp6d3v1r                                                  
     97 | twitter  | earthquake | xoxsnowboardgrl        |   180 | the world is like actually ending...an earthquake in guatemala?                                                                             
     98 | twitter  | earthquake | leilah                 |   178 | looking for info on earthquake damage in #antigua, #guatemala - trying to locate bill &amp; david mcgowan. anyone have news on damage there?
     99 | twitter  | earthquake | catzz00                |   215 | another earthquake in vancouver island, it really seems like the big one will hit bc!!! hope everyone's ok!                                 
    100 | twitter  | earthquake | ShronSahani            |     8 | rt @yogurtbay: he moves and tosses the officer to one side who falls down and it feels like its an earthquake                               
    101 | twitter  | terremot | sarizcandoit           |   470 | fue terremoto o temblor? ya dec\xeddanse pueeee                                                                                             
    102 | twitter  | earthquake | ashishraheja78         |    13 | rt @yogurtbay: he moves and tosses the officer to one side who falls down and it feels like its an earthquake                               
    103 | twitter  | earthquake | dw018                  |    70 | thoughts go out to anyone that has just been affected by the earthquake in british columbia and guatemala                                   
    104 | twitter  | terremot | YoSoyDeawebo           |    32 | hay que orar por las personas que han sido afectadas por el terremoto                                                                       
    105 | twitter  | earthquake | safia_almahdi          |   336 | rt @nytimesworld: guatemala earthquake leaves dozens dead http://t.co/gidkbceq                                                              
    106 | twitter  | earthquake | _MikeyFuckso           |  3017 | hurricane a week ago, earthquake 2 days ago, and a snow storm now? i think nj needs a break.                                                
    107 | twitter  | earthquake | rashmeeramadhar        |    39 | rt @ajenglish: dozens killed in guatemala earthquake http://t.co/ol2qmptu                                                                   
    108 | twitter  | terremot | nicolettapaleta        |   217 | rt @t13noticias: el edificio de las reservas militares en el centro de totonicap\xe1n colaps\xf3, luego del terremoto de 7.2 grados de magnitu ...
    109 | twitter  | earthquake | danielgarridop         |   166 | rt @newearthquake: 5.1 earthquake, south indian ocean. nov 8 07:24 at epicenter (16m ago, depth 10km). http://t.co/upsi948c                 
    110 | twitter  | earthquake | MjcDiabeticIDs         |   171 | massive! 6.3 earthquake just strike canada nov.7,2012... http://t.co/1dji32xp                                                               
    111 | twitter  | earthquake | OG_Ongapheli           | 41790 | rt @jaynelogan_mxxx: my heart to #guatemala earthquake victims+families and those in the path of the #noreaster #ny #nj #usa                
    112 | twitter  | earthquake | sarahkpohl             |    37 | rt @kaillowry: heard about the earthquake &amp; hope everyone is ok and safe in guatemala.                                                  
    113 | twitter  | earthquake | Pissticuffs            |   588 | an earthquake in guatemala today killed more people than sandy. why doesn't anyone care?                                                    
    114 | twitter  | earthquake | Hiroko_23              |   485 | [\u5357\u30a4\u30f3\u30c9\u6d0b\u30fbm\uff15.\uff11]\u65e5\u672c\u6642\u9593\u306e\u5348\u5f8c\uff11\uff12\u6642\uff12\uff14\u5206\u9803\u3002earthquake - magnitude 5.1 - south indian ocean - 2012 november 08, 03:24:29 utc: http://t.co/wef82jcx
    115 | twitter  | earthquake | KathereenDianaa        |   271 | rt @rubydez: my prayers go out to everyone effected by the earthquake in guatemala \U0001f64f                                               
    116 | twitter  | earthquake | Selenaaa_Wupp          |    24 | "7.4 magnitude earthquake in guatemala has killed 39 people according to the country's president." my actual home...:( hope everything's ok.
    117 | twitter  | earthquake | KRNV                   |  4307 | earthquake strikes canada's west coast http://t.co/57lbfarx                                                                                 
    118 | twitter  | earthquake | usedtobeboyz           |   209 | rt @_mikeyfuckso: hurricane a week ago, earthquake 2 days ago, and a snow storm now? i think nj needs a break.                              
    119 | twitter  | earthquake | SafiraVera             |  1128 | rt @kidrauhlswiftly: *earthquake* normal people: "run, now run run run." taylor: "wait, where's meredith? im gonna save her first"          
    120 | twitter  | earthquake | dopedeguzman           |   405 | rt @_mikeyfuckso: hurricane a week ago, earthquake 2 days ago, and a snow storm now? i think nj needs a break.                              
    121 | twitter  | earthquake | CodysPassion           |  1648 | 6.3mag earthquake off of vancouver island at 6:01pm..... the world is ending.. http://t.co/da7wr1qh                                         
    122 | twitter  | earthquake | JaylahhShayy14         |   758 | are we having an earthquake or am i the only one feeling the shaking..?                                                                     
    123 | twitter  | earthquake | FASHIONVAULT_LA        |    19 | our thoughts are with guatemala this evening, as the country has suffered a devastating earthquake. we keep them in our prayers. #guatemala 
